"time","heart_rate"
2015-04-03 13:11:03,78
2015-04-03 13:11:09,76
2015-04-03 13:11:14,78
2015-04-03 13:11:19,75
2015-04-03 13:11:24,76
2015-04-03 13:11:29,79
2015-04-03 13:11:34,82
2015-04-03 13:11:39,83
2015-04-03 13:11:44,79
2015-04-03 13:11:49,75
2015-04-03 13:11:54,77
2015-04-03 13:11:59,79
2015-04-03 13:12:04,80
2015-04-03 13:12:09,80
2015-04-03 13:12:14,74
2015-04-03 13:12:19,78
2015-04-03 13:12:24,73
2015-04-03 13:12:29,75
2015-04-03 13:12:34,74
2015-04-03 13:12:39,76
2015-04-03 13:12:44,78
2015-04-03 13:12:49,77
2015-04-03 13:12:54,79
2015-04-03 13:12:59,80
2015-04-03 13:13:04,82
2015-04-03 13:13:09,78
2015-04-03 13:13:14,79
2015-04-03 13:13:19,75
2015-04-03 13:13:24,78
2015-04-03 13:13:29,76
2015-04-03 13:13:34,80
2015-04-03 13:13:39,78
2015-04-03 13:13:44,82
2015-04-03 13:13:49,78
2015-04-03 13:13:54,80
2015-04-03 13:13:59,80
2015-04-03 13:14:04,81
2015-04-03 13:14:09,82
2015-04-03 13:14:14,83
2015-04-03 13:14:19,85
2015-04-03 13:14:24,88
2015-04-03 13:14:29,83
2015-04-03 13:14:34,79
2015-04-03 13:14:39,75
2015-04-03 13:14:44,78
2015-04-03 13:14:49,75
2015-04-03 13:14:54,77
2015-04-03 13:14:59,77
2015-04-03 13:15:04,78
2015-04-03 13:15:09,74
2015-04-03 13:15:14,74
2015-04-03 13:15:19,78
2015-04-03 13:15:24,89
2015-04-03 13:15:29,76
2015-04-03 13:15:34,73
2015-04-03 13:15:39,81
2015-04-03 13:15:44,91
2015-04-03 13:15:49,87
2015-04-03 13:15:54,81
2015-04-03 13:15:59,71
2015-04-03 13:16:04,75
2015-04-03 13:16:09,86
2015-04-03 13:16:14,87
2015-04-03 13:16:19,89
2015-04-03 13:16:24,102
2015-04-03 13:16:29,84
2015-04-03 13:16:34,78
2015-04-03 13:16:39,86
2015-04-03 13:16:44,78
2015-04-03 13:16:49,72
2015-04-03 13:16:54,81
2015-04-03 13:16:59,84
2015-04-03 13:17:04,86
2015-04-03 13:17:09,80
2015-04-03 13:17:14,77
2015-04-03 13:17:19,75
2015-04-03 13:17:24,77
2015-04-03 13:17:29,80
2015-04-03 13:17:34,84
2015-04-03 13:17:39,88
2015-04-03 13:17:44,84
2015-04-03 13:17:49,84
2015-04-03 13:17:54,85
2015-04-03 13:17:59,82
2015-04-03 13:18:04,82
2015-04-03 13:18:09,86
2015-04-03 13:18:14,88
2015-04-03 13:18:19,89
2015-04-03 13:18:24,81
2015-04-03 13:18:29,94
2015-04-03 13:18:34,95
2015-04-03 13:18:39,100
2015-04-03 13:18:44,102
2015-04-03 13:18:49,107
2015-04-03 13:18:54,104
2015-04-03 13:18:59,106
2015-04-03 13:19:04,103
2015-04-03 13:19:09,99
2015-04-03 13:19:14,104
2015-04-03 13:19:19,102
2015-04-03 13:19:24,85
2015-04-03 13:19:29,88
2015-04-03 13:19:34,89
2015-04-03 13:19:39,96
2015-04-03 13:19:44,98
2015-04-03 13:19:49,100
2015-04-03 13:19:54,95
2015-04-03 13:19:59,100
2015-04-03 13:20:04,101
2015-04-03 13:20:09,92
2015-04-03 13:20:14,96
2015-04-03 13:20:19,101
2015-04-03 13:20:24,92
2015-04-03 13:20:29,108
2015-04-03 13:20:34,116
2015-04-03 13:20:39,92
2015-04-03 13:20:44,79
2015-04-03 13:20:49,88
2015-04-03 13:20:54,90
2015-04-03 13:20:59,76
2015-04-03 13:21:04,80
2015-04-03 13:21:09,92
2015-04-03 13:21:14,88
2015-04-03 13:21:19,92
2015-04-03 13:21:24,100
2015-04-03 13:21:29,87
2015-04-03 13:21:34,88
2015-04-03 13:21:39,84
2015-04-03 13:21:44,86
2015-04-03 13:21:49,91
2015-04-03 13:21:54,84
2015-04-03 13:21:59,79
2015-04-03 13:22:04,77
2015-04-03 13:22:09,82
2015-04-03 13:22:14,83
2015-04-03 13:22:19,83
2015-04-03 13:22:24,88
2015-04-03 13:22:29,81
2015-04-03 13:22:34,82
2015-04-03 13:22:39,79
2015-04-03 13:22:44,81
2015-04-03 13:22:49,85
2015-04-03 13:22:54,89
2015-04-03 13:22:59,83
2015-04-03 13:23:04,80
2015-04-03 13:23:09,77
2015-04-03 13:23:14,71
2015-04-03 13:23:19,78
2015-04-03 13:23:24,78
2015-04-03 13:23:29,73
2015-04-03 13:23:34,75
2015-04-03 13:23:39,77
2015-04-03 13:23:44,77
2015-04-03 13:23:49,83
2015-04-03 13:23:54,74
2015-04-03 13:23:59,76
2015-04-03 13:24:04,77
2015-04-03 13:24:09,78
2015-04-03 13:24:14,80
2015-04-03 13:24:19,80
2015-04-03 13:24:24,84
2015-04-03 13:24:29,82
2015-04-03 13:24:34,85
2015-04-03 13:24:39,87
2015-04-03 13:24:44,84
2015-04-03 13:24:49,83
2015-04-03 13:24:54,83
2015-04-03 13:24:59,84
2015-04-03 13:25:04,83
2015-04-03 13:25:09,83
2015-04-03 13:25:14,84
2015-04-03 13:25:19,83
2015-04-03 13:25:24,89
2015-04-03 13:25:29,82
2015-04-03 13:25:34,82
2015-04-03 13:25:39,83
2015-04-03 13:25:44,89
2015-04-03 13:25:49,90
2015-04-03 13:25:54,83
2015-04-03 13:25:59,88
2015-04-03 13:26:04,89
2015-04-03 13:26:09,93
2015-04-03 13:26:14,109
2015-04-03 13:26:19,112
2015-04-03 13:26:24,112
2015-04-03 13:26:29,110
2015-04-03 13:26:34,112
2015-04-03 13:26:39,92
2015-04-03 13:26:44,96
2015-04-03 13:26:49,91
2015-04-03 13:26:54,95
2015-04-03 13:26:59,98
2015-04-03 13:27:04,96
2015-04-03 13:27:09,97
2015-04-03 13:27:14,99
2015-04-03 13:27:19,97
2015-04-03 13:27:24,94
2015-04-03 13:27:29,84
2015-04-03 13:27:34,89
2015-04-03 13:27:39,89
2015-04-03 13:27:44,96
2015-04-03 13:27:49,97
2015-04-03 13:27:54,99
2015-04-03 13:27:59,92
2015-04-03 13:28:04,91
2015-04-03 13:28:09,93
2015-04-03 13:28:14,86
2015-04-03 13:28:19,89
2015-04-03 13:28:24,91
2015-04-03 13:28:29,95
2015-04-03 13:28:34,94
2015-04-03 13:28:39,105
2015-04-03 13:28:44,96
2015-04-03 13:28:49,84
2015-04-03 13:28:54,83
2015-04-03 13:28:59,87
2015-04-03 13:29:04,85
2015-04-03 13:29:09,90
2015-04-03 13:29:14,81
2015-04-03 13:29:19,84
2015-04-03 13:29:24,91
2015-04-03 13:29:29,87
2015-04-03 13:29:34,87
2015-04-03 13:29:39,87
2015-04-03 13:29:44,87
2015-04-03 13:29:49,87
2015-04-03 13:29:54,88
2015-04-03 13:29:59,87
2015-04-03 13:30:04,89
2015-04-03 13:30:09,91
2015-04-03 13:30:14,82
2015-04-03 13:30:19,84
2015-04-03 13:30:24,93
2015-04-03 13:30:29,90
2015-04-03 13:30:34,88
2015-04-03 13:30:39,87
2015-04-03 13:30:44,82
2015-04-03 13:30:49,89
2015-04-03 13:30:54,88
2015-04-03 13:30:59,89
2015-04-03 13:31:04,90
2015-04-03 13:31:09,94
2015-04-03 13:31:14,94
2015-04-03 13:31:19,93
2015-04-03 13:31:24,85
2015-04-03 13:31:29,76
2015-04-03 13:31:34,74
2015-04-03 13:31:39,76
2015-04-03 13:31:44,77
2015-04-03 13:31:49,76
2015-04-03 13:31:54,75
2015-04-03 13:31:59,83
2015-04-03 13:32:04,85
2015-04-03 13:32:09,92
2015-04-03 13:32:14,89
2015-04-03 13:32:19,88
2015-04-03 13:32:24,86
2015-04-03 13:32:29,89
2015-04-03 13:32:34,86
2015-04-03 13:32:39,88
2015-04-03 13:32:44,86
2015-04-03 13:32:49,85
2015-04-03 13:32:54,85
2015-04-03 13:32:59,86
2015-04-03 13:33:04,86
2015-04-03 13:33:09,88
2015-04-03 13:33:14,88
2015-04-03 13:33:19,89
2015-04-03 13:33:24,88
2015-04-03 13:33:29,89
2015-04-03 13:33:34,83
2015-04-03 13:33:39,84
2015-04-03 13:33:44,86
2015-04-03 13:33:49,86
2015-04-03 13:33:54,86
2015-04-03 13:33:59,88
2015-04-03 13:34:04,91
2015-04-03 13:34:09,93
2015-04-03 13:34:14,85
2015-04-03 13:34:19,89
2015-04-03 13:34:24,83
2015-04-03 13:34:29,86
2015-04-03 13:34:34,90
2015-04-03 13:34:39,87
2015-04-03 13:34:44,77
2015-04-03 13:34:49,82
2015-04-03 13:34:54,84
2015-04-03 13:34:59,80
2015-04-03 13:35:04,78
2015-04-03 13:35:09,85
2015-04-03 13:35:14,86
2015-04-03 13:35:19,84
2015-04-03 13:35:24,85
2015-04-03 13:35:29,81
2015-04-03 13:35:34,79
2015-04-03 13:35:39,84
2015-04-03 13:35:44,87
2015-04-03 13:35:49,87
2015-04-03 13:35:54,83
2015-04-03 13:35:59,84
2015-04-03 13:36:04,84
2015-04-03 13:36:09,83
2015-04-03 13:36:14,86
2015-04-03 13:36:19,86
2015-04-03 13:36:24,83
2015-04-03 13:36:29,89
2015-04-03 13:36:34,91
2015-04-03 13:36:39,102
2015-04-03 13:36:44,96
2015-04-03 13:36:49,97
2015-04-03 13:36:54,96
2015-04-03 13:36:59,82
2015-04-03 13:37:04,84
2015-04-03 13:37:09,91
2015-04-03 13:37:14,87
2015-04-03 13:37:19,80
2015-04-03 13:37:24,86
2015-04-03 13:37:29,80
2015-04-03 13:37:34,84
2015-04-03 13:37:39,84
2015-04-03 13:37:44,82
2015-04-03 13:37:49,84
2015-04-03 13:37:54,86
2015-04-03 13:37:59,85
2015-04-03 13:38:04,83
2015-04-03 13:38:09,86
2015-04-03 13:38:14,89
2015-04-03 13:38:19,89
2015-04-03 13:38:24,91
2015-04-03 13:38:29,88
2015-04-03 13:38:34,88
2015-04-03 13:38:39,90
2015-04-03 13:38:44,86
2015-04-03 13:38:49,84
2015-04-03 13:38:54,79
2015-04-03 13:38:59,85
2015-04-03 13:39:04,87
2015-04-03 13:39:09,97
2015-04-03 13:39:14,85
2015-04-03 13:39:19,88
2015-04-03 13:39:24,81
2015-04-03 13:39:29,86
2015-04-03 13:39:34,84
2015-04-03 13:39:39,78
2015-04-03 13:39:44,88
2015-04-03 13:39:49,87
2015-04-03 13:39:54,85
2015-04-03 13:39:59,93
2015-04-03 13:40:04,90
2015-04-03 13:40:09,88
2015-04-03 13:40:14,85
2015-04-03 13:40:19,90
2015-04-03 13:40:24,92
2015-04-03 13:40:29,85
2015-04-03 13:40:34,84
2015-04-03 13:40:39,87
2015-04-03 13:40:44,82
2015-04-03 13:40:49,82
2015-04-03 13:40:54,85
2015-04-03 13:40:59,84
2015-04-03 13:41:04,84
2015-04-03 13:41:09,86
2015-04-03 13:41:14,89
